id,cor_sentence
grm2208220053352,그래프를 보고 판단할 때 기울기를 보고 판단할 수는 없는 것일까요?
grm2207150012559,대신 합격증 들고 연락 먼저 주세요.
grm2210130111158,노력한 부분도 있고요!
grm2210050116981,저는 영어 공부를 정말 안 했습니다.
grm2207060034662,최근에는 공사 신검 때문에 육사 컷이 제일 높습니다!
grm2208230070294,같다면 왜 같은 말인가요?
grm2209020076033,그게 더 간단한 것 같아서요.
grm2207140014696,내용도 재밌어서 잠 깨기에 좋았어요
grm2208310043856,시선의 이동이 없고 못 위의 잠은 시선의 이동이 있는 건가요?
grm2207040021487,그리고 연계 교재 공부법에 대해서는 학교에서 연계 교재로 진도를 나갔기 때문에 그냥 진도에 맞춰서 풀고 틀린 문제만 오답했습니다.
grm2208180054938,밀도라는 개념을 전혀 모르는 독자가 이를 도출할 수 있다고 하기에는 매우 어려워 보입니다.
grm2208260055674,"좋은 독해 습관이라고 생각하고, 선생님도 이걸 많이 강조하시더라고요."
grm2210110106725,제발 덮어쓰기 전 버전이 살아났으면 좋겠어.
grm2206220018272,한 명은 너무 많이 하고 한 명은 아무것도 안 한다면서요?
grm2207040036336,대학 생활에서 강제는 없습니다.
grm2207180034159,학업이 이 타이밍에 가장 쉽게 안정적인 과정을 만드는 방법이라고 생각했습니다!
grm2206210032636,틀린 적이 단 한 번도 없었습니다.
grm2209080054804,그런 사람들의 생각을 바꾸기 위한 것이지요.
grm2210070114994,저도 선생님 두 분이랑 방식이 잘 안 맞아서 안 들었고요.
grm2209020081546,어제 질문을 남겼는데 제 뒤로는 모두 답변이 달려서요 제 질문이 누락된 것 같습니다.
grm2207120010868,시험 끝까지 다 봤으면 잘 한 거예요.
grm2206200032684,지나가다 볼 수 있으면 좋겠네요!
grm2207190001100,저는 일단 정말 너무너무 힘들면 하루 늦잠 자고 늦게 가라고 하구 싶어요.
grm2209070063328,아니면 그냥 과거제를 제한적으로 실시했다고...
grm2206150044885,서술자의 생각으로는 볼 수 없나요?
grm2207260003666,수능이기 때문에 최선을 다해 노력해 주세요.
grm2210210112130,그래서 졸업식 꽃다발도 꽃 시장 가서 직접 해왔답니다.
grm2208020069831,그리고 스펙트럼의 세기를 어떻게 구할 수가 있나요?
grm2207220031700,공부랑 미모를 어떻게 다들 챙기는지 궁금해요!
grm2206200025420,여기서 알려드리긴 좀 그렇네요.
grm2207040017536,공통과목의 난도가 높아진 게 뚜렷하게 보이네요.
grm2210110113021,잠 온다랑 반틈은 경상도 사투리인데 부산이 어찌 아나요?
grm2208170052330,신을 완전한 존재로 설명하는 부분은 아니지 않나요?
grm2206140055803,어느 정도 복습하는 게 적당한가요?
grm2208030056980,항상 빠르고 정확한 답변 감사합니다!
grm2209270111839,여러 번 읽으면서 공부했어요.
grm2210110112394,물고기를 잡아야 하는데 놓아주면 어떡합니까?
grm2207150015669,수능 전 알아두시고 시험장 들어가시면 좋을 것 같습니다!
grm2210170112114,공부를 종종 손에 놔버릴 때가 있어요.
grm2210120108615,나도 맞추고서 채점하다 보니 이걸 맞힌 나 자신이 신기함.
grm2206210032619,다니는 학원에도 그 학교를 다니는 사람이 없다.
grm2208120067499,이 문제 관련 추가 질문입니다.
grm2209260114912,아침을 먹기 전 공부를 해야 그날 공부에 집중이 잘 되더라고요.
grm2208230070928,이렇게 풀 때 어디서 오류가 생기는 건가요?
grm2210180099378,또 오늘 아침부터 일 안 하고 고민만 하는 중이에요.
